"V1" "V2" "V3" "V4"
"1" 5.1 3.5 1.4 0.3
"2" 4.4 3.2 1.3 0.2
"3" 4.4 3 1.3 0.2
"4" 5 3.5 1.6 0.6
"5" 5.1 3.8 1.6 0.2
"6" 4.9 3.1 1.5 0.2
"7" 5 3.2 1.2 0.2
"8" 4.6 3.2 1.4 0.2
"9" 5 3.3 1.4 0.2
"10" 4.8 3.4 1.9 0.2
"11" 4.8 3 1.4 0.1
"12" 5 3.5 1.3 0.3
"13" 5.1 3.3 1.7 0.5
"14" 5 3.4 1.5 0.2
"15" 5.1 3.8 1.9 0.4
"16" 4.9 3 1.4 0.2
"17" 5.3 3.7 1.5 0.2
"18" 4.3 3 1.1 0.1
"19" 5.5 3.5 1.3 0.2
"20" 4.8 3.4 1.6 0.2
"21" 5.2 3.4 1.4 0.2
"22" 4.8 3.1 1.6 0.2
"23" 4.9 3.6 1.4 0.1
"24" 4.6 3.1 1.5 0.2
"25" 5.7 4.4 1.5 0.4
"26" 5.7 3.8 1.7 0.3
"27" 4.8 3 1.4 0.3
"28" 5.2 4.1 1.5 0.1
"29" 4.7 3.2 1.6 0.2
"30" 4.5 2.3 1.3 0.3
"31" 5.4 3.4 1.7 0.2
"32" 5 3 1.6 0.2
"33" 4.6 3.4 1.4 0.3
"34" 5.4 3.9 1.3 0.4
"35" 5 3.6 1.4 0.2
"36" 5.4 3.9 1.7 0.4
"37" 4.6 3.6 1 0.2
"38" 5.1 3.8 1.5 0.3
"39" 5.8 4 1.2 0.2
"40" 5.4 3.7 1.5 0.2
"41" 5 3.4 1.6 0.4
"42" 5.4 3.4 1.5 0.4
"43" 5.1 3.7 1.5 0.4
"44" 4.4 2.9 1.4 0.2
"45" 5.5 4.2 1.4 0.2
"46" 5.1 3.4 1.5 0.2
"47" 4.7 3.2 1.3 0.2
"48" 4.9 3.1 1.5 0.1
"49" 5.2 3.5 1.5 0.2
"50" 5.1 3.5 1.4 0.2
"51" 6.4 3.2 4.5 1.5
"52" 5.5 2.4 3.8 1.1
